id,ball_number,pocket_id,shot_id
0,3,5,1
1,5,1,2
2,7,2,3
3,13,1,5
4,12,0,6
5,9,0,11
6,10,5,12
7,1,5,14
8,6,3,15
9,15,4,21
10,0,5,21
11,4,4,22
12,11,4,26
13,14,4,29
14,8,1,30
15,4,4,34
16,6,4,35
17,13,3,39
18,7,1,44
19,4,0,45
20,9,3,46
21,5,1,47
22,2,1,48
23,14,4,50
24,15,1,53
25,0,4,54
26,12,3,56
27,1,0,60
28,3,3,63
29,8,4,66
30,4,1,67
31,2,0,68
32,6,4,69
33,5,3,70
34,0,1,75
35,12,2,76
36,10,0,77
37,15,1,78
38,0,2,79
39,7,1,80
40,13,5,84
41,14,2,87
42,11,5,87
43,0,4,88
44,1,5,89
45,3,3,92
46,0,2,94
47,8,1,95
48,9,2,96
49,15,5,97
50,1,3,99
51,3,1,100
52,4,0,101
53,14,0,102
54,2,0,104
55,5,1,105
56,6,2,106
57,7,5,107
58,8,1,108
59,15,1,109
60,5,1,110
61,2,5,111
62,4,3,112
63,1,3,113
64,6,0,114
65,7,5,115
66,8,1,116
67,4,0,118
68,3,0,119
69,14,1,120
70,11,3,121
71,2,1,124
72,5,2,126
73,13,3,128
74,0,1,131
75,7,3,132
76,6,0,133
77,1,5,134
78,9,5,136
79,12,4,139
80,8,5,143
81,14,1,144
82,4,3,145
83,7,1,146
84,13,3,148
85,15,5,149
86,11,5,150
87,1,3,152
88,5,0,155
89,9,3,157
90,12,2,159
91,10,1,160
92,8,2,161
93,10,5,162
94,7,0,162
95,4,1,163
96,1,4,164
97,2,0,165
98,5,3,166
99,3,5,167
100,6,4,168
101,15,5,170
102,11,0,171
103,14,1,172
104,13,4,173
105,8,1,174
106,11,1,176
107,15,1,181
108,10,2,184
109,14,1,187
110,13,4,188
111,3,0,190
112,5,0,191
113,1,2,194
114,7,1,199
115,4,2,200
116,9,4,206
117,0,3,206
118,2,1,207
119,6,4,210
120,0,4,210
121,12,4,211
122,8,2,213
123,4,0,214
124,0,5,215
125,7,1,216
126,13,0,218
127,0,2,220
128,10,3,223
129,9,3,224
130,2,3,226
131,12,5,228
132,6,0,230
133,0,4,230
134,15,2,231
135,5,0,233
136,14,3,237
137,3,0,239
138,11,5,240
139,1,0,242
140,0,4,243
141,8,1,244
142,6,4,246
143,13,2,248
144,15,4,249
145,0,5,251
146,1,3,253
147,7,0,256
148,5,5,259
149,2,5,262
150,10,1,264
151,9,2,265
152,3,4,266
153,4,5,269
154,8,0,270
155,11,4,271
156,13,1,272
157,4,5,273
158,2,2,274
159,5,3,275
160,0,3,279
161,6,2,280
162,1,4,281
163,10,4,283
164,15,1,284
165,9,0,285
166,0,0,285
167,3,3,286
168,7,1,289
169,12,5,295
170,14,0,296
171,8,1,297
172,0,1,301
173,14,2,302
174,9,3,303
175,7,1,305
176,12,0,309
177,11,0,310
178,5,5,312
179,1,4,315
180,3,5,316
181,2,3,317
182,0,3,318
183,6,1,320
184,4,1,321
185,8,5,322
186,9,1,324
187,11,3,325
188,2,0,327
189,5,2,330
190,7,1,331
191,4,0,332
192,13,5,334
193,3,4,338
194,10,0,344
195,1,5,345
196,6,5,348
197,8,0,351
198,3,3,353
199,10,1,355
200,2,3,357
201,4,4,358
202,6,1,359
203,7,0,360
204,14,0,362
205,5,2,366
206,15,3,370
207,1,3,374
208,13,4,376
209,11,5,377
210,8,1,379
