id,game_id,player_id,shot_number,called_ball_number,called_pocket_id,first_ball_number,is_scratch,is_break,is_table_open,combo_size,is_bank_shot,is_jump_shot
0,0,1,0,,,1,,1,1,,,
1,0,0,1,3,5,3,,,1,,,
2,0,0,2,5,1,5,,,,,,
3,0,0,3,7,2,7,,,,,,
4,0,0,4,1,5,1,,,,,,
5,0,1,5,13,1,13,,,,,,
6,0,1,6,12,0,12,,,,,,
7,0,1,7,10,0,10,,,,,,
8,0,0,8,6,1,6,,,,,,
9,0,1,9,10,5,10,,,,,1,
10,0,0,10,6,3,,1,,,2,,
11,0,1,11,9,0,9,,,,,,
12,0,1,12,10,5,10,,,,,,
13,0,1,13,14,1,14,,,,,,
14,0,0,14,1,5,1,,,,,,
15,0,0,15,6,3,6,,,,,,
16,0,0,16,4,0,4,,,,,1,
17,0,1,17,15,4,15,,,,,,
18,0,0,18,4,0,4,,,,,,
19,0,1,19,15,4,15,,,,,,
20,0,0,20,4,5,4,,,,,,
21,0,1,21,15,4,15,1,,,,,
22,0,0,22,4,4,4,,,,,,
23,0,0,23,2,3,2,,,,,,
24,0,1,24,11,4,11,,,,,,
25,0,0,25,2,1,2,,,,,,
26,0,1,26,11,4,11,,,,,,
27,0,1,27,14,0,14,,,,,,
28,0,0,28,2,3,2,,,,,,
29,0,1,29,14,4,14,,,,,,
30,0,1,30,8,1,8,,,,,,
31,1,0,0,,,1,,1,1,,,
32,1,1,1,6,0,6,,,1,,,
33,1,0,2,4,4,4,,,1,,,
34,1,1,3,4,4,4,,,1,,,
35,1,1,4,6,4,6,,,,,,
36,1,1,5,1,2,1,,,,3,,
37,1,0,6,13,5,13,,,,,,
38,1,1,7,5,0,1,,,,2,,
39,1,0,8,13,5,13,,,,,,
40,1,1,9,5,0,5,,,,,1,
41,1,0,10,15,3,9,,,,4,,
42,1,1,11,3,1,7,,,,2,,
43,1,0,12,9,3,9,,,,,,
44,1,1,13,7,1,7,,,,,,
45,1,1,14,5,5,5,1,,,,,
46,1,0,15,9,3,9,,,,,,
47,1,0,16,10,0,12,,,,2,,
48,1,1,17,2,1,2,,,,,,
49,1,1,18,1,0,1,,,,,,
50,1,0,19,14,4,14,,,,,,
51,1,0,20,11,3,11,,,,,,
52,1,1,21,1,2,1,,,,,,
53,1,0,22,15,1,15,,,,,,
54,1,0,23,11,4,11,1,,,,,
55,1,1,24,1,0,1,,,,,,
56,1,0,25,12,3,12,,,,,,
57,1,0,26,10,5,,1,,,,,
58,1,1,27,3,3,3,,,,,,
59,1,0,28,10,5,10,,,,,,
60,1,1,29,1,0,1,,,,,,
61,1,1,30,3,3,11,1,,,,1,
62,1,0,31,11,2,11,,,,,,
63,1,1,32,3,3,3,,,,,,
64,1,1,33,8,4,8,,,,,,
65,1,0,34,10,3,10,,,,,,
66,1,1,35,8,4,8,,,,,,
67,2,1,0,,,1,,1,1,,,
68,2,1,1,2,0,11,,,1,,,
69,2,1,2,6,4,6,,,,,,
70,2,1,3,5,3,5,,,,,,
71,2,1,4,3,5,3,,,,,,
72,2,2,5,11,1,11,,,,,,
73,2,1,6,1,2,1,,,,,,
74,2,2,7,12,1,12,,,,,,
75,2,1,8,3,4,3,1,,,,,
76,2,2,9,12,2,12,,,,,,
77,2,2,10,10,0,10,,,,,,
78,2,2,11,15,1,15,,,,,,
79,2,2,12,13,4,,1,,,,,
80,2,1,13,7,1,7,,,,,,
81,2,1,14,1,1,1,,,,,,
82,2,2,15,14,2,14,,,,,,
83,2,1,16,3,0,3,,,,,,
84,2,2,17,13,5,13,,,,,,
85,2,2,18,14,5,14,,,,,,
86,2,1,19,3,5,3,,,,,,
87,2,2,20,14,2,14,,,,,,
88,2,2,21,9,0,9,1,,,,,
89,2,1,22,1,5,1,,,,,,
90,2,1,23,3,2,3,,,,,,
91,2,2,24,9,1,9,,,,,,
92,2,1,25,3,3,3,,,,,,
93,2,1,26,8,0,8,,,,,1,
94,2,2,27,9,3,,1,,,,,
95,2,1,28,8,1,8,,,,,,
96,3,1,0,,,6,,1,1,,,
97,3,1,1,15,5,15,,,1,,,
98,3,1,2,12,2,12,,,,,,
99,3,3,3,1,3,1,,,,,,
100,3,3,4,3,1,3,,,,,,
101,3,3,5,5,1,5,,,,,,
102,3,1,6,14,0,14,,,,,,
103,3,1,7,11,0,11,,,,,,
104,3,3,8,2,0,2,,,,,,
105,3,3,9,5,1,5,,,,,,
106,3,3,10,6,2,6,,,,,,
107,3,3,11,7,5,7,,,,,,
108,3,3,12,8,1,8,,,,,,
109,4,3,0,,,1,,1,1,,,
110,4,3,1,5,1,5,,,1,,,
111,4,3,2,2,5,2,,,,,,
112,4,3,3,4,3,4,,,,,,
113,4,3,4,1,3,1,,,,,,
114,4,3,5,6,0,6,,,,,,
115,4,3,6,7,5,7,,,,,,
116,4,3,7,3,4,3,,,,,,
117,5,2,0,,,1,,1,1,,,
118,5,0,1,4,0,4,,,1,,,
119,5,0,2,3,0,3,,,,,,
120,5,0,3,2,5,2,,,,,,
121,5,2,4,11,3,11,,,,,,
122,5,2,5,12,5,12,,,,,,
123,5,0,6,2,1,2,,,,,,
124,5,0,7,5,0,5,,,,,,
125,5,2,8,12,5,12,,,,,,
126,5,0,9,5,2,5,,,,,,
127,5,0,10,1,5,1,,,,,,
128,5,2,11,13,3,13,,,,,,
129,5,2,12,12,4,12,,,,,,
130,5,0,13,7,0,7,,,,,,
131,5,2,14,9,1,9,1,,,,,
132,5,0,15,7,3,7,,,,,,
133,5,0,16,6,0,6,,,,,,
134,5,0,17,1,5,1,,,,,,
135,5,0,18,8,1,8,,,,,,
136,5,2,19,9,5,9,,,,,,
137,5,2,20,15,1,15,,,,,,
138,5,0,21,8,4,8,,,,,,
139,5,2,22,12,4,12,,,,,,
140,5,2,23,10,0,10,,,,,,
141,5,0,24,8,5,8,,,,,,
142,5,2,25,10,5,10,1,,,,,
143,5,0,26,8,5,8,,,,,,
144,6,0,0,,,1,,1,1,,,
145,6,0,1,4,3,4,,,1,,,
146,6,0,2,7,1,7,,,,,,
147,6,0,3,5,0,5,,,,,,
148,6,3,4,13,3,13,,,,,,
149,6,3,5,15,5,15,,,,,,
150,6,3,6,11,5,11,,,,,,
151,6,3,7,10,0,6,1,,,,,
152,6,0,8,1,3,1,,,,,,
153,6,0,9,6,2,6,,,,,,
154,6,3,10,9,3,12,,,,2,,
155,6,0,11,5,0,5,,,,,,
156,6,0,12,2,4,2,,,,,,
157,6,3,13,9,0,9,,,,,,
158,6,0,14,3,2,3,,,,,,
159,6,3,15,12,2,12,,,,,,
160,6,3,16,10,1,10,,,,,,
161,6,3,17,8,2,8,,,,,,
162,7,3,0,,,1,,1,1,,,
163,7,3,1,4,1,2,,,1,2,,
164,7,3,2,1,4,1,,,,,,
165,7,3,3,2,0,2,,,,,1,
166,7,3,4,5,3,5,,,,,,
167,7,3,5,3,5,3,,,,,,
168,7,3,6,6,4,6,,,,,,
169,7,3,7,8,1,8,,,,,,1
170,7,1,8,15,5,15,,,,,,
171,7,1,9,11,0,11,,,,,,
172,7,1,10,14,1,14,,,,,,
173,7,1,11,13,5,13,,,,,1,
174,7,3,12,8,1,8,,,,,,
175,8,1,0,,,1,,1,1,,,
176,8,0,1,11,1,3,,,1,2,,
177,8,0,2,15,0,2,1,,,,,
178,8,1,3,2,1,2,,,,,,
179,8,0,4,9,1,9,,,,,,
180,8,1,5,4,0,4,,,,,,
181,8,0,6,15,1,15,,,,,,
182,8,0,7,9,1,9,,,,,,
183,8,1,8,7,4,12,1,,,,,
184,8,0,9,10,2,10,,,,,,
185,8,0,10,12,1,12,,,,,,
186,8,1,11,5,4,5,,,,,,
187,8,0,12,14,1,14,,,,,,
188,8,0,13,13,4,13,,,,,,
189,8,0,14,12,1,12,,,,,,
190,8,1,15,3,0,3,,,,,,
191,8,1,16,5,0,5,,,,,,
192,8,1,17,6,1,7,,,,2,,
193,8,0,18,9,1,9,,,,,,
194,8,1,19,1,2,1,,,,,,
195,8,1,20,2,1,2,,,,,,
196,8,0,21,12,3,12,,,,,1,
197,8,1,22,6,3,6,,,,,,
198,8,0,23,9,4,,1,,,,,
199,8,1,24,7,1,7,,,,,,
200,8,1,25,4,2,4,,,,,,
201,8,1,26,2,5,2,,,,,,
202,8,0,27,12,3,12,,,,,,
203,8,1,28,2,5,2,,,,,,
204,8,0,29,9,4,12,,,,,,
205,8,1,30,2,0,2,,,,,1,
206,8,0,31,9,4,9,,,,,,
207,8,1,32,2,1,2,,,,,,
208,8,1,33,6,4,6,,,,,,
209,8,0,34,12,1,12,,,,,,
210,8,1,35,6,4,6,,,,,,
211,8,0,36,12,4,12,,,,,,
212,8,0,37,8,2,8,,,,,,
213,8,1,38,8,2,8,,,,,,
214,9,4,0,,,5,,1,1,,,
215,9,4,1,2,3,2,1,,1,,,
216,9,0,2,7,1,7,,,1,,,
217,9,0,3,2,4,2,,,,,,
218,9,4,4,13,0,13,,,,,,
219,9,4,5,10,1,9,,,,2,,
220,9,0,6,5,5,5,1,,,,,
221,9,4,7,12,1,12,,,,,,
222,9,0,8,5,4,5,,,,,,
223,9,4,9,10,3,10,,,,,,
224,9,4,10,9,3,9,,,,,,
225,9,4,11,11,1,11,,,,,,
226,9,0,12,2,3,2,,,,,,
227,9,0,13,5,4,5,,,,,,
228,9,4,14,12,5,12,,,,,,
